OID,FID_,X,Y,BCE_Peloro
330,330,1680558.015093885,5465928.050783744,-0.772383332
331,331,1680550.684721505,5465872.092095199,-9999.0
332,332,1680564.156425497,5465836.583163263,-0.64112222
333,333,1680571.84599812,5465806.342323932,-9999.0
334,334,1680564.122147477,5465791.467189706,-9999.0
335,335,1680582.912931167,5465781.288205211,-9999.0
336,336,1680578.914455747,5465761.385702788,-9999.0
337,337,1680586.310563085,5465746.344950316,-9999.0
338,338,1680593.488121062,5465711.360267129,-9999.0
339,339,1680594.232243261,5465661.971635303,-9999.0
340,340,1680602.917304645,5465617.096417676,-0.660036482
341,341,1680618.760618443,5465567.085777631,-0.579514285
342,342,1680644.611117871,5465546.925729841,-0.608068997
343,343,1680644.598310715,5465517.133167871,-0.5527736
344,344,1680659.019957957,5465506.192201849,-9999.0
345,345,1680636.994201281,5465480.445142323,-0.422879992
346,346,1680650.901418969,5465481.348326199,-9999.0
347,347,1680632.835315493,5465447.435634178,-0.361714277
348,348,1680650.864932576,5465441.660609704,-9999.0
349,349,1680627.431194896,5465421.856151015,-9999.0
350,350,1680569.803467032,5465393.519471197,-0.791019635
351,351,1680559.480256536,5465367.658895871,-0.307017897
352,352,1680570.250743586,5465352.000050751,-9999.0
353,353,1680548.724186617,5465342.530280551,-0.700444443
354,354,1680487.650404316,5465322.902054244,-9999.0
355,355,1680351.939837131,5465206.245452181,-9999.0
356,356,1680232.134053831,5465161.800960135,-0.473820506
357,357,1680209.028131462,5465117.101774416,-0.798142872
358,358,1680216.425059092,5465107.848814737,-9999.0
359,359,1680201.541982675,5465097.00261678,-9999.0
360,360,1680302.249761403,5465144.814891425,-0.672777253
361,361,1678183.276084088,5465096.001094969,-0.878999968
362,362,1678197.756721946,5465097.076046573,-0.953999996
363,363,1678216.479429292,5465095.927132936,-9999.0
364,364,1680194.809646146,5465077.307916354,-0.736538497
365,365,1677912.463687808,5465089.003519398,-0.806544102
366,366,1678162.557037159,5465084.987843298,-9999.0
367,367,1678409.634963926,5465083.621550031,-9999.0
368,368,1677876.935556702,5465079.375096525,-0.638404753
369,369,1678145.247303222,5465068.038672996,-9999.0
370,370,1678598.124453458,5465054.710584291,-0.447633325
371,371,1680227.311116334,5465051.332843015,-9999.0
372,372,1677832.771042841,5465062.233281239,-0.550045604
373,373,1680210.543723789,5465030.723298217,-9999.0
374,374,1678548.785121818,5465035.245184066,0.137678595
375,375,1678571.715608987,5465035.698936515,-9999.0
376,376,1678853.960272193,5465040.889312861,-0.698315428
377,377,1677766.689035956,5465030.648620061,-0.55170371
378,378,1677786.201419781,5465033.8527126,-0.823325046
379,379,1677745.926069533,5465019.669002988,-0.290999986
380,380,1678140.330256684,5465029.741065673,-9999.0
381,381,1678823.738166102,5465014.62054722,-9999.0
382,382,1680242.258646807,5465014.459368699,-9999.0
383,383,1677755.753785609,5465014.228563732,-0.803741906
384,384,1678121.220419905,5465009.99792181,-0.206083367
385,385,1678722.579455065,5465004.166234584,-9999.0
386,386,1678914.235349266,5465007.299864822,-9999.0
387,387,1678808.847866809,5464992.892556397,-9999.0
388,388,1677733.470761419,5465000.916591868,-0.57174509
389,389,1678778.504389272,5464983.244564841,-9999.0
390,390,1678854.095922352,5464982.434408824,-9999.0
391,391,1680239.800782855,5464975.11490575,-0.967999935
392,392,1678113.343483931,5464980.162346505,-0.732937472
393,393,1680253.82176262,5464960.451415917,-9999.0
394,394,1680275.260163724,5464956.881293901,-9999.0
395,395,1677692.751504013,5464976.469887262,-0.556859816
396,396,1678638.895369841,5464955.19607266,-9999.0
397,397,1678800.557003368,5464957.301250929,-9999.0
398,398,1678756.611516666,5464964.268064039,-9999.0
399,399,1678923.721124485,5464959.940158191,-9999.0
400,400,1680300.745429227,5464930.955479681,-9999.0
401,401,1678864.021659415,5464941.367073129,-9999.0
402,402,1678888.148628876,5464931.333595376,-9999.0
403,403,1680321.236368071,5464918.163624138,-9999.0
404,404,1678792.981626792,5464923.250828838,-9999.0
405,405,1678936.909494039,5464921.707293256,-9999.0
406,406,1678899.007043757,5464912.14093631,-9999.0
407,407,1679095.238061741,5464910.032948124,-9999.0
408,408,1679114.282373648,5464909.274565502,-0.951999962
