OID,FID_,X,Y,BCE_Port_U
41,41,1697251.476041083,5428336.547539182,-0.208839954
42,42,1697258.858183138,5428326.466461342,-0.293268255
43,43,1697266.242731127,5428316.388495834,-0.527374957
44,44,1697274.054450852,5428302.883488934,-0.811999977
45,45,1694776.491123703,5428334.812420581,-0.34548254
46,46,1697281.066551311,5428286.465738342,-9999.0
47,47,1694783.52300273,5428270.705205975,-0.675866632
48,48,1697908.472231468,5428207.734435329,0.47190279
49,49,1694789.67382861,5428199.488645295,-0.508468037
50,50,1697082.525651,5428079.457612172,-0.519566626
51,51,1697097.301992963,5428059.311455415,-0.156117612
52,52,1696994.153593903,5427944.877950089,-9999.0
53,53,1697011.423266536,5427920.492482147,-9999.0
54,54,1697043.618413134,5427897.140813163,-0.251659048
55,55,1697057.298108401,5427880.306677121,0.203361736
56,56,1694667.350308638,5427917.356093334,0.563295636
57,57,1694707.123917016,5427887.704267859,0.009113223
58,58,1697069.719543115,5427863.072776502,1.424653854
59,59,1697085.22822884,5427833.174701111,0.20441262
60,60,1694744.343764143,5427857.692331858,0.81909919
61,61,1698538.822841269,5427784.550868,1.461438192
62,62,1697103.144138553,5427713.763165156,-0.197488854
63,63,1697122.325990274,5427679.953461682,-0.623333297
64,64,1699348.397504062,5427639.886508184,-0.283384561
65,65,1697144.924800686,5427660.239465137,-9999.0
66,66,1698680.302551327,5427682.015306239,0.989185906
67,67,1697177.749476007,5427644.47295371,-0.39561464
68,68,1694227.047191408,5427666.170439093,-0.849999964
69,69,1697208.892121664,5427630.115279827,-9999.0
70,70,1699137.728788064,5427598.856986368,-9999.0
71,71,1697260.789403127,5427608.463530036,-0.523565169
72,72,1698865.607667453,5427587.050266533,0.756704344
73,73,1699259.652784414,5427580.300895016,0.877163156
74,74,1694218.545826728,5427636.986468064,-0.720457092
75,75,1699241.767437065,5427561.990852448,0.632098585
76,76,1697275.972099239,5427588.905449344,1.102371766
77,77,1699222.882658435,5427551.958262139,0.224376714
78,78,1699158.224357628,5427551.112038427,-0.096128392
79,79,1699203.41771516,5427542.592883983,0.158239796
80,80,1697296.366035716,5427565.843076304,-0.283257106
