OID,FID_,X,Y,BCE_Aotea_
432,432,1762383.704528733,5790063.778711062,0.972650006
433,433,1762363.792349506,5790054.202614948,0.958562502
434,434,1761996.916998205,5790051.520130976,0.626307672
435,435,1762339.334471161,5790034.974677408,1.270180018
436,436,1761878.238823589,5790033.930624401,0.611574995
437,437,1762327.712632338,5790025.003570592,1.74170002
438,438,1761866.212708869,5790024.197195093,0.655125006
439,439,1762317.847809942,5790010.362140471,1.874961191
440,440,1761507.028296597,5790011.368657072,0.564074998
441,441,1761847.874142964,5790008.282223092,0.993717642
442,442,1761491.060110756,5790001.712447301,0.909424997
443,443,1761822.249579317,5789995.152441425,0.881750002
444,444,1761199.298100934,5790007.48036362,0.627647826
445,445,1761471.149237753,5789992.134212195,1.218112517
446,446,1761814.166474823,5789985.340497473,2.252000018
447,447,1761455.181133923,5789982.47793456,1.181094943
448,448,1761431.327636705,5789972.977603291,0.795518984
449,449,1761419.302573935,5789963.243087235,0.6653
450,450,1761179.027504685,5789958.604158894,0.495523357
451,451,1761780.817150308,5789956.940694708,3.04143439
452,452,1761079.680735233,5789950.216856128,0.648018199
453,453,1761395.251915263,5789943.774001031,0.677775006
454,454,1761379.283948255,5789934.117578005,0.712462503
455,455,1762152.05296926,5789918.800692396,1.093324993
456,456,1761357.993340728,5789921.242632304,0.887141013
457,457,1762128.198679806,5789909.302694996,1.099369757
458,458,1762275.606608958,5789954.318067349,2.22208036
459,459,1762251.274006217,5789883.588125126,1.911891684
460,460,1761315.215574515,5789885.523865195,0.799962024
461,461,1761287.222866412,5789866.132772278,0.783018754
462,462,1762221.735727999,5789848.272137885,0.983000006
463,463,1761263.36991996,5789856.631965922,1.072580619
464,464,1761706.077134281,5789891.79170902,1.659552845
465,465,1761247.402336137,5789846.975297386,1.549740266
466,466,1761227.492143489,5789837.396491067,1.533310814
467,467,1761207.581999477,5789827.817633745,1.253512994
468,468,1761708.001482115,5789802.958953514,1.060131246
469,469,1761691.384643262,5789768.593219201,0.851446432
470,470,1761675.359817624,5789748.031402858,0.855562491
471,471,1761667.29151942,5789738.946178822,1.107974975
472,472,1761644.621656428,5789776.737477971,0.960243227
