OID,FID_,X,Y,BCE_Rangau
300,300,1622473.234438573,6134447.944027626,0.889750004
301,301,1622391.338985414,6134438.706823592,1.657113184
302,302,1622292.840019946,6134418.295722281,1.140649979
303,303,1622046.574920653,6134359.121457999,1.003933314
304,304,1621981.238423445,6134328.904464281,1.016135138
305,305,1621972.811720159,6134319.236102289,0.964897424
306,306,1621152.564580981,6134311.141655779,2.047282234
307,307,1621964.452543499,6134309.463418067,0.919775012
308,308,1622213.506455297,6134369.948610773,1.037494516
309,309,1619810.164883795,6134307.255638019,1.237613652
310,310,1621189.109396441,6134296.397321397,1.374331355
311,311,1621939.855338748,6134289.505905482,0.892181808
312,312,1621980.607620135,6134289.750997192,0.933724137
313,313,1619869.914447345,6134318.139804168,0.988299143
314,314,1619946.183741152,6134284.252038016,0.654125008
315,315,1621152.168715675,6134286.52096183,1.405206123
316,316,1621205.482550967,6134281.416416164,1.875036972
317,317,1621923.374547949,6134280.382458799,0.880576921
318,318,1619964.511797692,6134266.304093028,2.01685459
319,319,1621883.348103375,6134260.715314138,0.936992959
320,320,1619866.548159253,6134254.298114779,1.244295441
321,321,1619987.116079845,6134244.314840814,2.441526001
322,322,1621808.376062077,6134240.877623395,1.143018881
323,323,1621837.661167506,6134248.482127995,1.012672591
324,324,1619839.462033159,6134249.641236307,1.20550557
325,325,1619881.003708338,6134240.134473387,1.191117131
326,326,1619995.465940786,6134234.130334764,1.073304063
327,327,1621143.83802772,6134231.749525732,1.42257501
328,328,1621218.272279595,6134231.576984496,0.813054529
329,329,1621832.794370892,6134230.3336425,0.927275865
330,330,1621135.611127825,6134221.806610268,1.323168295
331,331,1620015.60538339,6134216.841918688,1.345538471
332,332,1621127.579871305,6134211.67836243,1.116265451
333,333,1621758.172836043,6134221.336210554,1.290222229
334,334,1621230.432322431,6134211.997279719,0.902836739
335,335,1621685.380197722,6134200.383780446,1.058891896
336,336,1619861.968303218,6134212.249622138,0.804568444
337,337,1620053.827042998,6134197.147071427,1.864561717
338,338,1621119.713858244,6134191.561973856,0.929940317
339,339,1621242.193377178,6134192.401622934,0.872
340,340,1621676.994275736,6134190.652466088,1.111424968
341,341,1621701.437987364,6134190.798741886,1.088571434
342,342,1621714.845281335,6134204.782106573,1.154936125
343,343,1619888.698972619,6134190.748783941,0.603912602
344,344,1621262.678869767,6134182.012614578,0.980319338
345,345,1619905.130524712,6134180.712358098,0.635934931
346,346,1620987.06640802,6134171.19945127,-0.631148129
347,347,1621282.996621451,6134171.859058478,0.875749994
348,348,1621623.820011865,6134168.809751539,0.820161308
349,349,1621644.133514249,6134171.534470643,0.813964892
350,350,1619921.702514873,6134165.501939391,1.542606065
351,351,1620930.355186101,6134152.54544105,0.239175016
352,352,1621488.477262075,6134150.85019311,1.105109568
353,353,1621504.620217153,6134151.211959273,1.008650532
354,354,1621555.709951091,6134160.954267954,0.841765152
355,355,1619938.248709465,6134151.349641731,1.558105188
356,356,1620913.996535268,6134142.530290219,2.415399968
357,357,1621061.594472612,6134143.009940229,-0.462219982
358,358,1621516.472456362,6134140.641636079,0.796690924
359,359,1619946.136880397,6134135.104320162,0.61927389
360,360,1621077.809597974,6134132.486884438,-0.539872708
361,361,1621459.767779239,6134131.028874486,0.664238908
362,362,1621392.882515986,6134127.861910701,-0.199340428
363,363,1621438.919802142,6134121.480487399,-0.671257268
364,364,1619954.36780893,6134120.756944589,0.1150768
365,365,1620243.470160093,6134151.595171479,1.265503858
366,366,1620318.65469715,6134113.497910092,2.98709669
367,367,1621323.876153549,6134111.992043219,-0.566655153
368,368,1620339.404011564,6134104.274566729,3.284385966
369,369,1620864.612826271,6134103.614070883,1.40309433
370,370,1619962.788792767,6134101.608605369,0.104833431
371,371,1620360.488854958,6134094.641827646,2.712504527
372,372,1620840.044376594,6134093.629430371,2.74049444
373,373,1620104.650471862,6134129.97441075,1.074608595
374,374,1620380.378270396,6134084.259376731,1.044964907
375,375,1630257.674103641,6134056.889245939,0.768000006
376,376,1619976.422513211,6134082.337259641,0.148315933
377,377,1620786.960363314,6134072.995443186,2.155300207
378,378,1619991.217910172,6134065.181094513,0.564660136
379,379,1620421.352350575,6134064.244001583,2.940896476
380,380,1620774.491518495,6134062.978709092,2.473540577
