OID,FID_,X,Y,BCE_Queen_
353,353,1699415.062012776,5441327.57933887,-0.82249999
354,354,1696672.193733071,5441349.432309114,-0.131000003
355,355,1696657.057482041,5441339.225792367,-0.016604652
356,356,1699399.659801248,5441303.673994433,-0.245555517
357,357,1699392.916708373,5441293.444349379,0.253488406
358,358,1696646.683109949,5441323.86972579,0.337555553
359,359,1697236.671966291,5441328.175744629,0.687282229
360,360,1696627.200628919,5441309.596630603,-0.146523806
361,361,1697213.880656663,5441267.217942696,-0.732666632
362,362,1696615.777985724,5441267.753547048,-0.029722214
363,363,1699346.503984463,5441156.498599992,-0.392999955
364,364,1699357.542933677,5441142.699911381,-0.465434174
365,365,1697201.850203226,5441182.817377974,-0.313053108
366,366,1696601.608656248,5441172.508235574,-0.674999979
367,367,1699367.629377158,5441126.224166384,-0.878999949
368,368,1699383.49005317,5441105.748336419,-9999.0
369,369,1697201.205419672,5441123.704503234,-9999.0
370,370,1696615.682242671,5441102.095352905,-9999.0
371,371,1697226.645566364,5441054.345098833,-9999.0
372,372,1699426.533461524,5441057.057349282,-9999.0
373,373,1696623.182673669,5441042.431866055,-0.677333295
374,374,1697240.897615497,5441034.813199738,-9999.0
375,375,1696637.554989021,5441022.457752036,-0.628571383
376,376,1697247.780805842,5440993.530043277,-0.399346155
377,377,1696664.454989965,5440978.904105674,-0.661428522
378,378,1696674.420041739,5440952.339201391,-9999.0
379,379,1696711.282325137,5440911.534769641,-9999.0
380,380,1696771.077386024,5440851.585686129,-0.405199952
381,381,1696793.128981472,5440830.685132836,-9999.0
382,382,1700507.883648358,5440761.794811029,-0.449764711
383,383,1696904.82018554,5440724.895374813,-0.670799966
384,384,1696912.290381016,5440705.597564615,-0.593032211
385,385,1700514.552632526,5440651.094261776,-0.673333287
386,386,1696924.11540286,5440689.574671434,-0.739263111
387,387,1700543.336000318,5440621.530822269,-9999.0
388,388,1700610.829172705,5440600.81830293,0.385311097
389,389,1698815.900979769,5440589.01124764,0.076933387
390,390,1698775.91591705,5440524.028892418,0.6941429
391,391,1700715.07361497,5440494.622207646,-0.413285669
392,392,1698755.63027376,5440504.56373026,2.497137964
393,393,1700737.055317315,5440454.65125934,-0.257275348
394,394,1705651.528367376,5440386.329702957,0.874271915
395,395,1700744.585415963,5440438.39332376,-0.175278659
396,396,1705668.801144729,5440368.925472192,0.223535093
397,397,1706345.474640068,5440359.545335427,-0.283099979
398,398,1705679.088954654,5440359.535651156,-0.007117634
399,399,1698277.368286734,5440479.585950905,0.44917049
400,400,1700751.974438233,5440418.343099479,-0.363156836
401,401,1696419.916057625,5440466.720543195,-0.583692268
402,402,1705731.284446974,5440337.547700377,-0.216445916
403,403,1696433.861178049,5440456.242443889,-0.566121917
404,404,1698635.349133679,5440425.096668175,-9999.0
405,405,1700759.323178217,5440398.313983609,-0.131254874
406,406,1706265.843653511,5440321.891390199,-0.649749965
407,407,1696441.616098458,5440446.76568892,-0.331046852
408,408,1698310.272422562,5440428.003231741,-0.699249942
409,409,1706134.302660055,5440311.803281327,-0.638936126
410,410,1706223.626381703,5440310.466009323,0.025143873
411,411,1700773.506925781,5440378.006409079,-0.251103409
412,412,1698317.052140311,5440406.157299972,-9999.0
413,413,1706176.828545353,5440304.322536313,0.678681981
414,414,1705754.613181914,5440311.74723496,1.134566325
415,415,1696449.555017215,5440437.633070935,0.137425001
416,416,1705776.159333666,5440278.10996471,-0.1245714
417,417,1700811.117066094,5440338.762087625,-9999.0
418,418,1700837.162173438,5440317.261981403,-0.52784206
419,419,1700847.641582942,5440306.795751397,-0.559999958
420,420,1705805.729727086,5440237.506971352,-0.493116233
421,421,1698301.642550163,5440330.986326031,-9999.0
422,422,1705824.101635294,5440226.525493018,-0.387858452
423,423,1700867.136108783,5440287.042751192,-9999.0
